,id,ID,cycexp,G2_year,YOB,famfriends,cycling_test,walk_test,downtown_test,downtown_tor,turn_num,MV,PED,CYC,direction,control_type,failure
88,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T16,1,1,1,Left,Uncontrolled,Yes
89,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T17,1,1,1,Left,Signalized,No
90,5,2007,A few times or less,2003,1980,No,Never,Never,A few times a year or less,A few days a month,T18,1,1,1,Left,Signalized,No
91,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T1,1,1,1,Right,Signalized,No
92,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T2,1.333333333,1,1,Left,Signalized,No
93,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T3,1,1,1,Right,Signalized,No
94,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T4,2.333333333,1,1.666666667,Right,Signalized,No
95,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T5,1,1,1,Left,Uncontrolled,No
96,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T6,1,1,1,Left,Signalized,No
97,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T7,1,1,1,Left,Uncontrolled,No
98,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T8,1.666666667,1,1,Right,Uncontrolled,No
99,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T9,1,1,1,Right,Uncontrolled,No
100,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T10,1,1,1,Right,Signalized,No
101,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T11,2,1,1,Right,Signalized,No
102,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T12,1,1,1,Left,Uncontrolled,No
103,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T13,1.666666667,1,1,Right,Signalized,No
104,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T14,1,1,1,Right,Uncontrolled,No
105,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T15,1.333333333,1,1,Right,Signalized,No
106,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T16,1,1,1,Left,Uncontrolled,No
107,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T17,1,1,1,Left,Signalized,No
108,6,2008,A few days a week,2004,1982,Yes,A few days a week,Never,A few days a week,A few days a week,T18,1,1,1,Left,Signalized,No
109,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T1,2.333333333,1,1,Right,Signalized,No
110,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T2,2.333333333,2.333333333,1,Left,Signalized,No
111,7,2009,Never,2014,1982,No,Never,A few times a year or less,A few times a year or less,A few days a month,T3,1,1,1,Right,Signalized,No
